2016,34,13.62,12.56,1.41,1.62,-0.21,1.59,1.46,0.13,-0.33,1.06,1.46
2019,34,11.62,13,1.09,1.38,-0.29,1.23,1.4,-0.17,-0.12,1.12,1.27
2013,34,14.09,13.12,1.21,1.35,-0.15,1.29,1.33,-0.04,-0.11,1.21,1.37
2021,34,11.68,13.91,1.21,1.32,-0.12,1.18,1.33,-0.15,0.04,1.38,1.23
2022,32,13.03,11.41,1.34,1.09,0.25,1.11,1.19,-0.07,0.32,1.41,1.35
2018,34,14.62,10.74,1.21,1.26,-0.06,1.53,1.07,0.46,-0.51,1.5,1.7
2014,34,13.94,12.32,1.5,1.18,0.32,1.45,1.22,0.23,0.09,1.53,1.55
2015,34,13.65,12.74,1.68,1.56,0.12,1.41,1.35,0.06,0.06,1.56,1.43
2017,34,11.76,13.06,1.56,1.44,0.12,1.32,1.36,-0.04,0.15,1.59,1.39
2020,23,10.91,12.04,1.48,0.91,0.57,1.28,1.26,0.02,0.54,1.78,1.38
