2017,34,11.74,14.85,1.24,1.94,-0.71,1.16,1.62,-0.46,-0.24,0.94,1.12
2020,22,11.32,13.82,1.18,2.09,-0.91,1.33,1.5,-0.17,-0.74,1,1.27
2018,34,12.5,15.35,1.94,1.79,0.15,1.52,1.68,-0.16,0.31,1.41,1.31
2021,34,12.74,14.32,1.38,1.53,-0.15,1.42,1.41,0.01,-0.16,1.41,1.35
2022,33,13.76,11.73,1.64,1.52,0.12,1.54,1.38,0.16,-0.04,1.42,1.49
2015,34,11.94,11.62,1.65,1.35,0.29,1.33,1.23,0.1,0.2,1.5,1.4
2019,34,13.82,16.71,1.71,1.65,0.06,1.78,1.79,-0.01,0.07,1.5,1.39
2016,34,10.53,15.38,1.53,1.12,0.41,1.4,1.37,0.03,0.39,1.53,1.41
2013,34,14.38,9.59,1.53,1.12,0.41,1.61,0.84,0.78,-0.36,1.56,1.84
2014,34,15.94,10.26,1.97,1.03,0.94,1.79,0.91,0.88,0.06,1.79,1.93
