2016,34,13.21,14.47,1.41,1.5,-0.09,1.55,1.37,0.19,-0.27,1.29,1.47
2022,33,13.06,14.73,1.55,1.45,0.09,1.49,1.56,-0.08,0.17,1.39,1.32
2014,34,13.94,13.62,1.71,1.41,0.29,1.44,1.5,-0.06,0.35,1.44,1.34
2019,34,16.5,14.18,1.47,1.41,0.06,1.67,1.66,0.02,0.04,1.44,1.39
2017,34,14.12,12.29,1.74,1.44,0.29,1.55,1.22,0.33,-0.03,1.56,1.6
2015,34,14.29,11.91,1.21,1.15,0.06,1.33,1.06,0.27,-0.21,1.56,1.6
2018,34,13.71,13.29,1.53,1.32,0.21,1.57,1.4,0.17,0.03,1.59,1.49
2021,34,13,15.29,1.59,1.5,0.09,1.42,1.7,-0.28,0.37,1.62,1.16
2013,34,13.09,12.62,1.56,0.97,0.59,1.31,1.03,0.28,0.31,1.68,1.54
2020,23,11.26,14.43,2,1.52,0.48,1.35,1.53,-0.18,0.66,1.7,1.25
